"storage_area","type","size","name","information","dosage",,"winery_name","vintage","purchase_price","quantity","other_vintages","visible","unclear","sales_price","glass_price","internal_notes"
41,,,"Prosecco di Conegliano ",,"Extra Dry","prosecco","Cà del Ru",,7.8,,,1,,32,5,
43,,,"Blanc de Blanc 2012",,"Brut","chardonnay","Hoffmann & Rathbone",2012,42.9,14,,1,,118,19,
44,,,"Classic Curée",,"Brut","Pinot noir, chardonnay, meunier","Hoffmann & Rathbone",2014,38.8,3,,1,,107,17,
45,,,"Rosé Reserve",,"Brut",,"Hoffmann & Rathbone",2012,44.7,10,,1,,123,20,
47,,,"Fleury Fleur de l'Europe Nature","BIO","Brut nature","85% pinot noir, 15% Chardonny","Fleury",,42,5,,1,,116,19,
49,,,"Dom Perignon Rosé ",,"Brut",,"Moet & Chandon",2000,289.4,2,,1,,570,95,
50,,,"Bollinger Special Cuvée",,"Brut","pinot noir, chardonnay, pinot meunier","Bollinger ",,59.5,3,,1,,131,21,"Bollinger hat mindestens 3 Jahre Kellerreife."
51,,,"Ruinart Brut",,"But","40%chardonnay, 50-55%pinot noir, 5-10%pinot meunier","Ruinart",,55.5,3,,1,,122,20,"Handlese, BSA"
52,,,"Ruinart Brut Rosé",,"Brut","45%chardonnay, 55%pinot noir","Ruinart",,85,3,,1,,187,31,"Handlese, BSA"
53,,,"Louis Roederer Brut Premier",,"Brut","40%pinot noir, 40%chardonnay, 20%pnot meunier","Luis Roederer",,54.5,3,,1,,120,19,"Weine im Eichenfass gereift, mind. 3 Jahre im Keller, mind. 6 Monate nach dem Degorgement"
54,,,"Louis Roederer  Cristal",,"Brut","60%pinot noir, 40%chardonnay","Luis Roederer",2015,255,3,,1,,490,81,"6 Jahre im Keller, mind. 8 Monate in der Flasche nach dem Degorgement"
55,,,"Benoit Lahaye Blanc des Noirs","BIO","Extra Brut","pinot noir","Benoit Lahaye",,47,2,,1,,103,17,
56,,,"Benoit Lahaye GC Nature ","BIO","Brut nature","90%pinot noir, 10% chardonnay","Benoit Lahaye",,47,5,,1,,110,18,
57,,,"Benoit Lahaye Nature Grand Violaine","BIO","Brut nature","50%pinot noir, 50%chardonnay","Benoit Lahaye",2018,79,2,,1,,174,28,
58,,,"Lacourte-Godbillon ""Terroirs d'Eceuil""  1er Cru",,"Extra Brut","85% Pinot Noir, 15% Chardonnay. Vendange 2018, 35% vins de réserve","Lacourte-Godbillon",,39,3,,1,,107,,
59,,,"Benoit Lahaye ""Le Jardin de la Grosse Pierre""","BIO","Brut nature","Pinot Noir, Pinot Meunier, Pinot Blanc, Chardonnay, 
Arbanne, Petit Meslier, altri","Benoit Lahaye",2018,84,1,,1,,185,30,
60,,,"Dom Perignon",,"Brut","chardonnay, pinot noir","Moet & Chandon",2012,249.9,2,,1,,490,81,
61,,,"Billecart-Salmon Brut Réserve",,"Brut","pinot noir, chardonnay, pinot meunier","Billecart-Salmon",,45,2,,1,,124,20,
62,,,"Billecart-Salmon Rosé",,"Brut","chardonnay, pinot meunier, pinot noir","Billecart-Salmon",,72,3,,1,,158,26,
63,,,"Bruno Paillard Blanc de Blancs Réserve Cuvée Grand Cru",,"Extra Brut","chardonnay","Bruno Paillard",,73.9,2,,1,,163,27,"4 Jahre auf der Hefe"
64,,,"""Latitude"" ","BIO","Extra Brut","chardonnay","Larmandier-Bernier",,48,6,,1,,121,20,
65,,,"""Longitude"" 1er Cru","BIO","Extra Brut","chardonnay","Larmandier-Bernier",,65,7,,1,,143,23,
66,,,"""Terre de Vertus"" 1er Cru ","BIO","Pas Dosé","chardonnay","Larmandier-Bernier",2016,79,4,,1,,174,28,
68,,,"""Les Chemins d'Avize"" Blanc de blancs Grand Cru","BIO","Extra Brut","chardonnay","Larmandier-Bernier",2014,105,3,,1,,231,38,
69,,,"Rosé de Saignée 1er Cru Extra Brut","BIO","Brut","pinot noir, pinot gris","Larmandier-Bernier",,75.2,4,,1,,165,27,
70,,,"Blanc de Blancs",,"Brut","chardonnay","Diebolt-Vallois",,35.2,1,,1,,97,16,
72,,,"Tarlant Zero Brut Nature",,"Brut nature","chardonnay, pinot noir, pinot meunier","Tarlant ",,39.8,5,,1,,109,18,
74,,,"Bam! Blanc de blancs Brut nature",,"Brut nature","pinot Blanc (18%), Arbanne (18%) e petit Meslier (64%)","tarlant ",,120,4,,1,,264,44,
75,,,"Rosé Cuvée de Reserve",,"Brut","20%pinot noir, 80%pinot meunier","Alain Couvreur",,26.5,5,,1,,85,14,
76,,,"Royal Reserve Brut",,,"65%pinot noir, 30%chardonnay, 5%pinot meunier","Philipponat",,42,3,,1,,116,19,"teilweise BSA, Holzausbau, 3 Jahre in der Flasche auf der Hefe"
77,,,"Purity",,"Brut nature","meunier","F. Moreau",,41.8,2,,1,,115,19,
80,,,"Laurent Perrier Brut ",,,"45%chardonnay,40% pinot noir, 15%pinot meunier",,,41,3,,1,,113,18,"10-20% ReserveWeine, 3 Jahre Reifung"
81,,,"Laurent Perrier Ultra Brut",,,"55% Chardonnay, 45% pinot noir",,,52.5,3,,1,,116,19,
82,,,"Laurent Perrier Millesimé",,,"50%chardonnay, 50%pinot noir",,2008,62.9,1,"2012-2",1,,138,23,
85,,"PICCOLO","Arunda Brut",,,"50%chardonnay, 30%pinot blanc, 20%pinot noir","Arunda Vivaldi",,8.1,6,,1,,33,5,
86,,"PICCOLO","Ruinart Brut ",,,"40%chardonnay, 50-55%pinot noir, 5-10%pinot meunier","Ruinart",,33.9,3,,1,,93,15,
89,,"MAGNUM","Ruinart Brut",,,,,,129,0,"nicht gelistet",0,,275,,
90,,"MAGNUM","""Longitude"" Blanc de blancs 1er Cru","BIO",,"chardonnay","Larmandier-Bernier",,82.72,0,,1,,230,38,
91,,"MAGNUM","Cuvée Marianne",,,,,,41,1,,1,,113,18,
93,,"MAGNUM","cuvée marianne",,,"80%chardonnay, 20%pinot noir",,,42,1,,1,,123,20,
94,,"MAGNUM","MADEIRA",,,,,,33.5,2,,1,,92,15,
100,"WHITE",,"Weissburgunder Platt& Riegl",,,,"Kellerei Girlan",2021,9.7,1,"2023-2 ",1,,39,6,
101,"WHITE",,"Weissburgunder Schulthauser",,,,"Kellerei St. Michael Eppan",2021,9.8,1,"2022-1 2023-1 ",1,,39,6,
102,"WHITE",,"Weissburgunder Praesulis",,,,"Gumphof",2022,14.3,3,,1,,49,8,
103,"WHITE",,"Weissburgunder Longorei",,,,"Pfitscher",2022,9.6,3,,1,,38,6,
104,"WHITE",,"Weissburgunder Barthenau ",,,,"Hofstätter",2020,21.7,3,,1,,71,11,
105,"WHITE",,"Vinschgau Weissburgunder",,,,"Castel Juval",2021,11.7,5,,1,,45,7,
107,"WHITE",,"Weissburgunder Kristallberg",,,,"Elena Walch",2022,17.3,3,,1,,58,9,"350m.ü.M, 1/3 in franz. EichenBarriques vergoren und dann Reifung für 5 Monate. Cuvee im Frühling"
108,"WHITE",,"Weißburgunder Klaser  Riserva Salamander",,,,"Niklaserhof",2020,14.3,1,,1,,49,8,"550.m.ü.M, Gärung in 500 l Eichenholzfässern bleibt dort für 12 Monate auf der Feinhefe und danach weitere 6 Monate auf der Feinhefe im Stahltank"
109,"WHITE",,"Weissburgunder Strahler",,,,"Stroblhof",2022,12.5,3,,1,,48,7,"400-500m.ü.M, Traubengemisch (2012 z.B. mit 4 % Pinot Grigio und Chardonnay), Gärung; 22 Tage im Edelstahltank & Eichenfässern, ohne BSA, Ausbau; 6 Monate 50% in Eichenhlzfässern auf der Hefe, 50% Edelstahlbehälter"
110,"WHITE",,"Weissburgunder Riserva Renaissance",,,,"Gumphof",2019,26.5,0,"nicht gelistet",0,,85,14,
111,"WHITE",,"Weißburgunder Riserva Helios",,,,"Kränzel",2020,26.5,2,,1,,85,14,
112,"WHITE",,"Weissburgunder Alte Reben",,,,"K. Martini & Sohn",2019,25,1,"2021-2",1,,81,13,"250m.ü.M, 4 h Maischestandzeit, Gärung; im grossen Holzfass, Ausbau; 5 Monate auf der Feinhefe im Stahltank"
114,"WHITE",,"Weissburgunder Vom Muschelkalk",,,,"Weingut Abraham",2022,18.9,3,,1,,63,10,
117,"WHITE",,"Weissburgunder Plötzner",,,,"St. Pauls",2022,7,11,,1,,31,5,"500-700m.ü.M, Gärung; grossem Holzfass, Ausbau; 5-7 Monate auf der Feinhefe mit teilweise BSA"
119,"WHITE",,"Weissburgunder Prunar ",,,,"Erste & Neue ",2015,7.2,2,"2012-1",1,,30,5,"500m.ü.M. Gärung; grossen Holzfass & Edelstahltank, anschliessende Lagerung auf der Feinhefe"
121,"WHITE",,"Weissburgunder Riserva Vorberg ",,,,"Kellerei Terlan",2021,21.4,2,,1,,70,11,"600-950m.ü.M. Handlese, Gärung; grossen Eichenfass, Ausbau; BSA und Reife für 12 Monate auf der Feinhefe im traditionellen Holzfass"
122,"WHITE",,"Weissburgunder Sirmian",,,,"Nals Margreid",2021,17,3,,1,,57,9,"Ausbau"
123,"WHITE",,"Weissburgunder St. Valentin ",,,,"St. Michael Eppan",2020,19.1,1,"2021-2",1,,63,10,"450-600m.ü.M. Handlese, Gärung; BSA und Ausbau von 50% auf der Hefe in BarriquesTonneau. Rest in grossen Eichenholzfässern.  Nach 1 Jahr Assemblage, danach 6 Monate im Stahltank"
126,"WHITE",,"Terlaner Weissburgunder De Silva ",,,,"Peter Sölva & Söhne",2020,12.95,2,"2021-1 ",1,,49,8,"500m.ü.M. nach der Vergärung auf der feinen Hefe bis zur Abfüllung. "
127,"WHITE",,"Terlaner Weissburgunder Rarity",,,,"Kellerei Terlan",2009,105.1,5,,1,,230,38,
128,"WHITE",,"Terlaner Weissburgunder Rarity",,,,"Kellerei Terlan",2006,130.5,3,,1,,260,43,
129,"WHITE",,"Terlaner Weissburgunder Rarity",,,,,2010,102,0,"nicht gelistet",0,,220,,
132,"WHITE",,"Chardonnay Kreuth",,,,"Kellerei Terlan",2021,14.5,3,,1,,50,8,"250-420m.ü.M. Hadlese, Gärung; grossen Eichenholzfass, Ausbau; BSA und 8 Monate auf der Feinhefe im traditionellen Holzfass"
133,"WHITE",,"CH19",,,,"Pitzner",2019,25.9,3,,1,,84,13,
134,"WHITE",,"Chardonnay St. Valentin ",,,,"St. Michael Eppan",2021,19.4,1,"2022-2",1,,64,10,
136,"WHITE",,"Chardonnay Cardellino ",,,,"Elena Walch",2023,14.4,3,,1,,49,8,"400.m.ü.M. Vinifizierung; langer Hefekontakt, 15% werden in franz. EichenBarrique vergoren und reifen 5 Monate. Assemblage im Frühjahr"
137,"WHITE",,"Chardonnay Marei ",,,,"Castel Salegg",2020,15,2,"2021-1",1,,51,8,
140,"WHITE",,"Chardonnay Riserva",,,,"Happacherhof",2020,16,2,"2021-1",1,,54,9,"Vergärung im grossen Eichenhlzfass mit anschliessender 15 Monatiger reife"
141,"WHITE",,"Chardonnay Ogeaner",,,,"Armin Kobler",2021,9.1,2,"2018-1",1,,37,6,"209.m.ü.M. Vinifizierung; auf der Feinhefe im Stahlfass mit teilweise BSA, keine Weinsteinstabilisierung"
143,"WHITE",,"Chardonnay Ateyon ","BIO",,"(10%Kerner)","Loacker Schwarhof",2022,15.25,3,,1,,52,8,"Holzausbau mit wöchentlicher Batonnage und spontangärung"
144,"WHITE",,"Chardonnay Lafoa",,,,"Schreckbichl Colterenzio",2022,19.9,3,,1,,66,10,"400-550m.ü.M. Ganztraubenpressung. Gärung; neuen und gebrauchten Barriques, BSA. Ausbau; 10 Monate auf der Feinhefe mit regelmässiger Batonnage. Mind. 6 Monate in der Flasche"
145,"WHITE",,"Donà d'Or",,"bei Terlan","chardonnay","Hartmann Donà",2015,58.16,0,,1,,128,21,"260-320m.ü.M. Gärung"
148,"WHITE",,"Chardonnay Löwengang ","BIO",,,"Tenutae Lageder",2020,48.55,4,"2021-1 ",1,,122,20,"230-330m.ü.M. Gärung"
149,"WHITE",,"Chardonnay Löwengang ","BIO",,,"Tenutae Lageder",2017,49.5,0,"nicht gelistet",0,,109,18,"230-330m.ü.M. Gärung"
151,"WHITE",,"Chardonnay Schwarzhaus",,,,"Stroblhof",2017,12.5,1,"2019-1 2022-1 ",1,,48,7,"350m.ü.M. Gärung"
152,"WHITE",,"Chardonnay Baron Salvadori ",,,,"Nals Margreid",2020,25,2,,1,,81,13,"12 Monate im Tonneau"
153,"WHITE",,"Chardonnay Sophie ","BIO",,"(6% Viognier)","Manincor",2022,27.5,5,,1,,88,14,"350-40m.ü.M. 4 h Mazeration. Gärung; spontan in Holzfässern verschiedener grössen und Traubeneigener Hefe, BSA. Ausbau;  9 Monate auf der Feinhefe"
159,"WHITE",,"Chardonnay Riserva Troy",,,,"Kellerei Tramin",2020,52,16,,1,,114,19,
166,"WHITE",,"Riesling Praepositus",,,,"Stiftskellerei Neustift",2018,18.9,1,"2020-1",1,,63,10,"650-700m.ü.M. 2/3 Mitte Oktober, 1/3 Spätlese mitte Dezember. Vergärung & Ausbau im Edelstahltank. 9 Monate Flaschenreifung"
168,"WHITE",,"Riesling R",,,,"Köfererhof",2022,18.1,2,,1,,60,10,"700m.ü.M. Handlese. Gärung & Ausbau im Stahl."
169,"WHITE",,"Riesling Viel Anders",,,,"Röckhof",2018,10.5,1,,1,,41,6,"550-650m.ü.M. Ernte im Oktober/November/Anfang Januar. Handlese. Gärung & Ausbau im Edelstahltank für 8 Monate"
172,"WHITE",,"Riesling Kaiton",,,,"Kuenhof - Peter Pliger",2021,15.9,2,"2022-1",1,,54,8,"550-700m.ü.M. Gärung; spontan 50% im grossen Akazienholzfass, 50% im Edelstahltank. Ausbau; 8 Monate auf der Feinhefe"
173,"WHITE",,"Riesling",,,,"Falkensteiner - Franz Pratzner",2022,17.9,2,,1,,60,9,"600-900m.ü.M. Handlese. Gärung im AkazienHolzfass. Ausbau"
174,"WHITE",,"Riesling Unterortl",,,,"Castel Juval - Unterortl",2021,18.9,1,"2023-2 ",1,,63,10,
175,"WHITE",,"Riesling Ringberg",,,,"Elena Walch",2021,18.9,3,"2019-1 ",1,,63,10,"400m.ü.M. Gärung"
176,"WHITE",,"Riesling Windbichel",,,,"Castel Juval - Unterortl",2022,29.9,3,,1,,86,14,
177,"WHITE",,"Riesling Surmont","Bio",,,"Alois Lageder",2021,16.5,3,,1,,56,9,"520-750m.ü.M. Gärung"
179,"WHITE",,"Riesling ",,,,"Pacherhof",2022,16.2,3,,1,,55,9,
180,"WHITE",,"Riesling ",,,,"Andi Sölva",2018,14.8,2,,1,,51,8,
183,"WHITE",,"Kerner",,,,"Pacherhof",2021,13.6,1,"2022-1 2023-1 ",1,,47,7,"700m.ü.M. Handlese. Vinifizierung im Stahlbehälter für 6 Monate auf der Hefe"
184,"WHITE",,"Rielinger Kontur ","BIO",,,"Rielinger",2020,25,6,"2021-4",1,,81,13,"600-750m.ü.M. Gärung"
185,"WHITE",,"Kerner Praepositus",,,,"Stiftskellerei Neustift",2022,15.5,3,,1,,53,8,"650-700m.ü.M Gärung & Ausbau im Edelstahltank. 3 Monate Flaschenlagerung"
186,"WHITE",,"Kerner Aristos",,,,"Eisacktaler Kellerei",2020,13.3,1,"2016-1 2021-1 ",1,,46,7,"700-800m.ü.M. Gärung"
187,"WHITE",,"Kerner Sabiona",,,,"Eisacktaler Kellerei",2020,24.5,3,,1,,79,13,"750m.ü.M. Gärung"
188,"WHITE",,"Kerner",,,,"Köfererhof",2021,12.7,1,"2023-2",1,,49,8,"650m.ü.M.  Edelstahl"
191,"WHITE",,"Kerner",,,,"Taschlerhof",2023,11.7,3,,1,,45,7,"Stahltank"
194,"WHITE",,"Viognier Leviogn","BIO",,,"Tröpfltalhof",2021,17.2,3,,1,,58,9,
198,"WHITE",,"Sylvaner ",,,,"Kuenhof - Peter Pliger",2022,15.3,2,"2023-1",1,,52,8,"550-700m.ü.M. Handlese. Gärung: 50% grossen Holzfass 50% Edelstahltanks. Ausbau; 8 Monate auf der Feinhefe zu 2/3  im grossen Holzfass, der Rest im Edelstahltanks."
199,"WHITE",,"Sylvaner Sabiona",,,,"Eisacktaler Kellerei",2019,26,2,"2020-1",1,,84,13,"650m.ü.M. Gärung"
200,"WHITE",,"Sylvaner BIO","BIO",,,"Garlider",2021,12.3,2,"2021-1",1,,47,7,"600-800m.ü.M. Gärung & Ausbau im Holzfass"
201,"WHITE",,"Sylvaner Praepositus",,,,"Stiftskellerei Neustift",2021,15.4,1,"2022-2",1,,52,8,"600-700m.ü.M.  Gärung"
202,"WHITE",,"Sylvaner",,,,"Taschlerhof",2022,10.7,3,,1,,42,6,"Gärung & Ausbau 30% in grossen Akazienholzfässern, 70% im Stahltank."
203,"WHITE",,"Sylvaner",,,,"Pacherhof",2019,13.1,1,"2021-1 2022-1",1,,46,7,"620m.ü.M. Handlese. Vinifikation im Stahlbehälter, anschliessend 8 Monate auf der Feinhefe. "
206,"WHITE",,"Sylvaner Hautnah","BIO",,,"Garlider",2017,24.6,1,"2018-2",1,,80,13,
210,"WHITE",,"Veltliner",,,,"Kuenhof - Peter Pliger",2015,11.3,1," 2020-1 2014-1",1,,44,7,"550-700m.ü.M. Gärung; 50% grosses Holzfass 50% Edelstahltank. Ausbau; 8 Monate 2/3 im grossen Holzfass, Rest im Edelstahltank auf der Feinhefe"
211,"WHITE",,"Veltliner BIO","BIO",,,"Garlider",2020,11.8,3,,1,,46,7,"600-650m.ü.M. Gärung & Ausbau im Holzfass"
213,"WHITE",,"Veltliner",,,,"Köfererhof",2018,15.9,1,"R 2022-2",1,,54,8,"700m.ü.M.6h Mazeration.  Gärung"
221,"WHITE",,"Sauvignon Tannenberg","BIO",,,"Manincor",2020,20.5,1,"2021-1 2022-1 ",1,,67,11,"300m.ü.M. 12h Mazeration. Gärung"
223,"WHITE",,"Sauvignon Floreado",,,,"Kellerei Andrian",2022,9.8,3,,1,,39,6,"260-380m.ü.M. Gärung"
224,"WHITE",,"Sauvignon Mantele",,,,"Nals Margreid",2020,15,3,,1,,51,8,"7 Monate im Edelstahltank und Holzfass."
226,"WHITE",,"Sauvignon Stern",,,,"Kellerei Kaltern",2021,10.2,2,,1,,40,6,"500m.ü.M. Gärung"
227,"WHITE",,"Sauvignon Lafoa ",,,,"Schreckbichl ",2021,18.9,1,"2022-3 ",1,,63,10,"430m.ü.M. Vinifikation: 8 Monate auf der Hefe. 50% im Edelstahlbehälter, 50% im Bariques mit BSA. "
232,"WHITE",,"Sauvignon Lieben Aich Bio ","BIO",,,"Manincor",2016,36.04,0,"nicht gelistet",0,,115,19,
233,"WHITE",,"Sauvignon Lieben Aich Bio ","BIO",,,"Manincor",2021,46,7,,1,,98,16,"300m.ü.M. 12h Mazeration. Gärung"
235,"WHITE",,"Sauvignon Lieben Aich Bio ","BIO",,,"Manincor",2020,46,6,,1,,105,17,
237,"WHITE",,"Sauvignon Quarz",,,,"Kellerei Terlan",2021,37,12,,1,,95,15,
238,"WHITE",,"Sauvignon Quarz",,,,"Kellerei Terlan",2022,39,12,"nicht gelistet",0,,107,,
242,"WHITE",,"Sauvignon Schliff",,,,"St. Pauls",2020,25.2,3,,1,,81,13,"700m.ü.M.  100% im Edelstahl, Abfüllung im November"
243,"WHITE",,"Sauvignon Myra",,,,"Waldgries",2022,13.4,2,"2023-1",1,,46,7,"550m.ü.M. Ausbau; 90% Stahl, 10% Barriques. Ein Teil wird mit ganzen Beeren vergoren. "
244,"WHITE",,"Sauvignon St. Valentin",,,,"St. Michael Eppan",2022,19.4,1," 2023-2",1,,64,10,
246,"WHITE",,"Sauvignon Andrius",,,,"Kellerei Andrian",2020,18.4,0,"2021-2",1,,61,10,"260-380m.ü.M. Gärung"
247,"WHITE",,"Sauvignon Praesulis",,,,"Gumphof",2022,14.7,5,,1,,50,8,
249,"WHITE",,"Sauvignon",,,,"Thurnhof",2018,11.3,1," 2022-2",1,,44,7,"grösster Teil der Reben auf 800m.ü.M.  Ausbau"
250,"WHITE",,"Sauvignon Anphora","Bio",,,"Tröpfltalhof",2018,42,5,,1,,116,,
255,"WHITE",,"Huaber Weingort ",,,,"Vontavon Albert - Teis",2011,,7,,1,,7,1,"Der Wein wird Vergärt, Ausgebaut und Abgefüllt von Alois Lageder"
257,"WHITE",,"Müller Thurgau Feldmarschall",,,,"Tiefenbrunner",2020,34.9,5,,1,,96,15,"650m.ü.M.   Gärung"
259,"WHITE",,"Müller Thurgau",,,,"Castel Juval - Unterortl",2021,11.2,2,,1,,44,7,"750-850m.ü.M. Gärung"
264,"WHITE",,"Pinot Grigio Porer",,,,"Alois Lageder",2021,14.45,3,,1,,50,8,"230-420m.ü.M. Gärung"
268,"WHITE",,"Pinot Grigio Unterebner ",,,,"Kellerei Tramin",2021,19.8,3,"2022-2 ",1,,65,10,"430m.ü.M. Gärung"
273,"WHITE",,"Grauer Burgunder Klausner",,,,"Armin Kobler",2021,9.1,2,"2018-1 ",1,,37,6,"209m.ü.M. Vinifizierung im Stahlfass ohne BSA. Keine Weinstabilisierung."
274,"WHITE",,"Pinot Grigio St. Valentin",,,,"St. Michael Eppan",2021,21.5,0,"2022-2",1,,70,11,
275,"WHITE",,"Pinot Grigio Punggl",,,,"Nals Margreid",2021,12.4,1,"2022-2",1,,48,7,"7 Monate im Edelstahltank und Holzfass."
276,"WHITE",,"Pinot Grigio Ringberg",,,,"Elena Walch",2022,17.3,2,"2021-1",1,,58,9,"350m.ü.M. Gärung; 85% Stahltank, 15% im franz. Eiche mit BSA. Cuvee im Frühjahr."
281,"WHITE",,"Liebenstein",,,"chardonnay, weissburgunder","Baron Longo",2020,22,3,,1,,72,11,"Gärung im Stahltank. Ausbau auf der Hefe für 6 Monate im Stahlfass und Akazienhlzfass."
282,"WHITE",,"Zeus",,,"Chardonnay, Gewürztraminer und Sauvignon","Oxenreiter",,27.5,3,,1,,88,14,"Gärung im Stahltank. Ausbau auf der Hefe für 6 Monate im Stahlfass und Akazienhlzfass."
283,"WHITE",,"Stoan ",,,"60%chardonnay, 25%sauvignon, 10%pinot blanc, 5%gewürztraminer","Kellerei Tramin",2022,19.9,3,,1,,66,10,"400-550m.ü.M. Gärung"
284,"WHITE",,"Amistar Cuvée Bianco",,,"80% chardonnay, 20% sauvignon","Peter Sölva & Söhne",2022,25,2,,1,,81,13,"260-380m.ü.M. Gärung"
285,"WHITE",,"Nova Domus ",,,,,2021,29.1,2,,1,,83,13,"250-500m.ü.M. Handlese. Gärung im Eichenfass 30hl. Partieller BSA (Weissburgunder & Chardonnay). 12 Monate Reife im Holzfasss 50%, 50% Tonneau, Assemblage 3 Monate vor der Abfüllung."
286,"WHITE",,"Dona Blanc ",,,"60%pinot blanc, 40%chardonnay","Hartmann Donà",2019,21.5,0,"2020-3",1,,79,13,"Gärung "
289,"WHITE",,"Die Perle",,"nummer im keller ändern","pinot grigio, riesling, assyrtiko, sauvignon…","Ansitz Dolomythos - Panta Rei",2005,40,0,"nicht gelistet",0,"x",120,20,
290,"WHITE",,"Mittelberg Weiss Trias",,,"90%chardonnay, 5%petit Mangseng, 5%incrocio manzoni","Weingut Niedrist",2021,20.9,3,,1,,69,11,"450-500m.ü.M. Gärung"
291,"WHITE",,"Reseve della Contessa Bio ","BIO",,"60%pinot blanc, 30%chardonnay, 10%sauvignon","Manincor",2023,14.2,3,,1,,49,8,"300m.ü.M. 6h Mazeratin. Gärung"
292,"WHITE",,"Beyound the Clouds",,,"chardonnay, …","Elena Walch",2022,59,3,"nicht gelistet",0,,120,20,"gemeinsames Abpressen und vergären der verschiedenen Trauben im franz Barriques. 3 Monate wöchentliche Batonnage. 10 Monate Reifung im Barrique. 6 Monate Flaschenlagerung."
293,"WHITE",,"Casòn Hirschprunn ","BIO",,"viognier, petit manseng","Tenutae Lageder",2020,30,2,"2021-1 ",1,,84,14,"230-360m.ü.M. Gärung"
294,"WHITE",,"Grande Cuvee ",,,"90% Pinot blanc, 7% Chardonnay, 3% Sauvignon","Kellerei Terlan",2020,149.9,3,,1,,330,54,"Gärung im Eichenholzfass. BSA und Ausbau für 12 Monate auf der Feinhefe im grossen Holzfass. Cuvee, Danach 4 Monate im Stahltank"
295,"WHITE",,"Adamantis",,,"Sylvaner, Grüner Veltliner, Pinot Grigio und Kerner",,2020,68,3,,1,,150,24,
