storage_area,TYPE,name,information,dosage,,winery_name,vintage,purchase_price,quantity,other vintages,Spalte12,sales_price,glass_price,internal_notes,,,,,,,
25,,Giulio Ferrari Riserva del  Fondatore ,,Extra Brut,chardonnay,Cantine Ferrari,2010,135,3,,,270,45,,,,,,,,
26,,Ferrari Perlé Zero,,Brut nature,chardonnay,Cantine Ferrari,2010,49.9,2,2014-1,,110,18,,,,,,,,
27,,Giulio Ferrari Rosé Riserva ,,Extra Brut,"pinot noir, chardonnay ",,2008,179,1,,,380,63,,,,,,,,
28,,Art,,Brut,chardonnay,,,15.1,7,,,56,9,,,,,,,,
29,,Franciacorta ,,,,,,,,,,7,1,,,,,,,,
30,,Franciacorta Bellavista Alma Grande Cuvée,,Brut,"79%chardonnay, 20%pinot noir, 1%pinot blanc",Bellavista,,26.5,3,,,85,14,,,,,,,,
31,,Bellavista Rose Grand Cuvee ,,Pas Dosé,"65%chardonnay,35% pinot noir",Bellavista,,38.00,2,2016-1,,105,17,"43% in Holz, mind. 5 JahreReifung im Keller",,,,,,,
32,,Bellavista Vittorio Moretti ,,Extra Brut,"50%chardonnay, 50%pinot noir",Bellavista,2013,89.90,1,2016-1 ,,198,32,,,,,,,,
33,,,,,,,,,,,,7,,,,,,,,,
34,,Blanc de Blanc,,Brut,chartonnay,Casa Caterina,,24.9,3,,,81,,,,,,,,,
35,,,,,,,,,,,,7,,,,,,,,,
36,,Bellavista Gran Cuvee Satèn,,Brut,chardonnay,Bellavista,2017,39,1,2018-1,,107,17,,,,,,,,
37,,,,,,,,,,,,7,1,,,,,,,,
38,,Piemonte Veneto,,,,,,,,,,7,1,,,,,,,,
39,,Buvoli Tre Extra Brut,,Extra Brut,pinot noir,Buvoli,,18.9,4,,,63,10,,,,,,,,
40,,Bisol Crede Prosecco DOCG,,Brut,prosecco,Bisol,,10.9,1,,,43,7,,,,,,,,
41,,Prosecco di Conegliano ,,Extra Dry,prosecco,Cà del Ru,,7.8,,,,32,5,,,,,,,,
42,,England Sussex,,,,,,,,,,7,1,,,,,,,,
43,,Blanc de Blanc 2012,,Brut,chardonnay,Hoffmann & Rathbone,2012,42.9,14,,,118,19,,,,,,,,
44,,Classic Curée,,Brut,"Pinot noir, chardonnay, meunier",Hoffmann & Rathbone,2014,38.8,3,,,107,17,,,,,,,,
45,,Rosé Reserve,,Brut,,Hoffmann & Rathbone,2012,44.7,10,,,123,20,,,,,,,,
46,,Champagne,,,,,,,,,,7,1,,,,,,,,
47,,Fleury Fleur de l'Europe Nature,BIO,Brut nature,"85% pinot noir, 15% Chardonny",Fleury,,42,5,,,116,19,,,,,,,,
48,,,,,,,,,,,,7,,,,,,,,,
49,,Dom Perignon Rosé ,,Brut,,Moet & Chandon,2000,289.4,2,,,570,95,,,,,,,,
50,,Bollinger Special Cuvée,,Brut,"pinot noir, chardonnay, pinot meunier",Bollinger ,,59.5,3,,,131,21,Bollinger hat mindestens 3 Jahre Kellerreife.,,,,,,,
51,,Ruinart Brut,,But,"40%chardonnay, 50-55%pinot noir, 5-10%pinot meunier",Ruinart,,55.5,3,,,122,20,"Handlese, BSA",,,,,,,
52,,Ruinart Brut Rosé,,Brut,"45%chardonnay, 55%pinot noir",Ruinart,,85,3,,,187,31,"Handlese, BSA",,,,,,,
53,,Louis Roederer Brut Premier,,Brut,"40%pinot noir, 40%chardonnay, 20%pnot meunier",Luis Roederer,,54.5,3,,,120,19,"Weine im Eichenfass gereift, mind. 3 Jahre im Keller, mind. 6 Monate nach dem Degorgement",,,,,,,
54,,Louis Roederer  Cristal,,Brut,"60%pinot noir, 40%chardonnay",Luis Roederer,2015,255,3,,,490,81,"6 Jahre im Keller, mind. 8 Monate in der Flasche nach dem Degorgement",,,,,,,
55,,Benoit Lahaye Blanc des Noirs,BIO,Extra Brut,pinot noir,Benoit Lahaye,,47,2,,1,103,17,,,,,,,,
56,,Benoit Lahaye GC Nature ,BIO,Brut nature,"90%pinot noir, 10% chardonnay",Benoit Lahaye,,47,5,,,110,18,,,,,,,,
57,,Benoit Lahaye Nature Grand Violaine,BIO,Brut nature,"50%pinot noir, 50%chardonnay",Benoit Lahaye,2018,79,2,,1,174,28,,,,,,,,
58,,"Lacourte-Godbillon ""Terroirs d'Eceuil""  1er Cru",,Extra Brut,"85% Pinot Noir, 15% Chardonnay. Vendange 2018, 35% vins de réserve",Lacourte-Godbillon,,39,3,,,107,,,,,,,,,
59,,"Benoit Lahaye ""Le Jardin de la Grosse Pierre""",BIO,Brut nature,"Pinot Noir, Pinot Meunier, Pinot Blanc, Chardonnay, 
Arbanne, Petit Meslier, altri",Benoit Lahaye,2018,84,1,,2,185,30,,,,,,,,
60,,Dom Perignon,,Brut,"chardonnay, pinot noir",Moet & Chandon,2012,249.9,2,,,490,81,,,,,,,,
61,,Billecart-Salmon Brut Réserve,,Brut,"pinot noir, chardonnay, pinot meunier",Billecart-Salmon,,45,2,,1,124,20,,,,,,,,
62,,Billecart-Salmon Rosé,,Brut,"chardonnay, pinot meunier, pinot noir",Billecart-Salmon,,72,3,,,158,26,,,,,,,,
63,,Bruno Paillard Blanc de Blancs Réserve Cuvée Grand Cru,,Extra Brut,chardonnay,Bruno Paillard,,73.9,2,,,163,27,4 Jahre auf der Hefe,,,,,,,
64,,"""Latitude"" ",BIO,Extra Brut,chardonnay,Larmandier-Bernier,,48,6,,,121,20,,,,,,,,
65,,"""Longitude"" 1er Cru",BIO,Extra Brut,chardonnay,Larmandier-Bernier,,65,7,,,143,23,,,,,,,,
66,,"""Terre de Vertus"" 1er Cru ",BIO,Pas Dosé,chardonnay,Larmandier-Bernier,2016,79,4,,,174,28,,,,,,,,
67,,,,,,,,,,,,7,,,,,,,,,
68,,"""Les Chemins d'Avize"" Blanc de blancs Grand Cru",BIO,Extra Brut,chardonnay,Larmandier-Bernier,2014,105,3,,,231,38,,,,,,,,
69,,Rosé de Saignée 1er Cru Extra Brut,BIO,Brut,"pinot noir, pinot gris",Larmandier-Bernier,,75.2,4,,,165,27,,,,,,,,
70,,Blanc de Blancs,,Brut,chardonnay,Diebolt-Vallois,,35.2,1,,2,97,16,,,,,,,,
71,,,,,,,,,,,,7,,,,,,,,,
72,,Tarlant Zero Brut Nature,,Brut nature,"chardonnay, pinot noir, pinot meunier",Tarlant ,,39.8,5,,,109,18,,,,,,,,
73,,,,,,,,,,,,7,,,,,,,,,
74,,Bam! Blanc de blancs Brut nature,,Brut nature,"pinot Blanc (18%), Arbanne (18%) e petit Meslier (64%)",tarlant ,,120,4,,,264,44,,,,,,,,
75,,Rosé Cuvée de Reserve,,Brut,"20%pinot noir, 80%pinot meunier",Alain Couvreur,,26.5,5,,,85,14,,,,,,,,
76,,Royal Reserve Brut,,,"65%pinot noir, 30%chardonnay, 5%pinot meunier",Philipponat,,42,3,,,116,19,"teilweise BSA, Holzausbau, 3 Jahre in der Flasche auf der Hefe",,,,,,,
77,,Purity,,Brut nature,meunier,F. Moreau,,41.8,2,,1,115,19,,,,,,,,
78,,,,,,,,,,,,7,1,,,,,,,,
79,,,,,,,,,,,,7,1,,,,,,,,
80,,Laurent Perrier Brut ,,,"45%chardonnay,40% pinot noir, 15%pinot meunier",,,41,3,,,113,18,"10-20% ReserveWeine, 3 Jahre Reifung",,,,,,,
81,,Laurent Perrier Ultra Brut,,,"55% Chardonnay, 45% pinot noir",,,52.5,3,,,116,19,,,,,,,,
82,,Laurent Perrier Millesimé,,,"50%chardonnay, 50%pinot noir",,2008,62.9,1,2012-2,,138,23,,,,,,,,
83,,,,,,,,,,,,7,1,"Cuvee aus 3 herausragenden Jahrgängen, mind. 7-8 Jahre Flaschenlagerung, nur Grand Crus",,,,,,,
84,,KLEINE FLASCHEN - PICCOLE BOTTIGLIE,,,,,,,,,,7,1,,,,,,,,
85,,Arunda Brut,,,"50%chardonnay, 30%pinot blanc, 20%pinot noir",Arunda Vivaldi,,8.1,6,,,33,5,,,,,,,,
86,,Ruinart Brut ,,,"40%chardonnay, 50-55%pinot noir, 5-10%pinot meunier",Ruinart,,33.9,3,,,93,15,,,,,,,,
87,,MAGNUM ,,,,,,,,,,7,1,,,,,,,,
88,,,,,,,,,,,,7,,,,,,,,,
89,,Ruinart Brut,,,,,,129,0,nicht gelistet,1,275,,,,,,,,,
90,,"""Longitude"" Blanc de blancs 1er Cru",BIO,,chardonnay,Larmandier-Bernier,,82.72,0,,2,230,38,,,,,,,,
91,,Cuvée Marianne,,,,,,41,1,neu?,,113,18,,,,,,,,
92,,,,,,,,,,,,7,1,,,,,,,,
93,,cuvée marianne,,,"80%chardonnay, 20%pinot noir",,,42,1,,,123,20,,,,,,,,
94,,MADEIRA,,,,,,33.5,2,,,92,15,,,,,,,,
95,WHITE,WEISSWEINE  - VINI BIANCHI ,,,,,,,,,,7,1,,,,,,,,
96,WHITE,,,,,,,,,,,7,1,,,,,,,,
97,WHITE,Südtirol - Alto Adige,,,,,,,,,,7,1,,,,,,,,
98,WHITE,,,,,,,,,,,7,1,,,,,,,,
99,WHITE,Weissburgunder - Pinot bianco,,,,,,,,,,7,1,,,,,,,,
100,WHITE,Weissburgunder Platt& Riegl,,,,Kellerei Girlan,2021,9.7,1,2023-2 ,,39,6,,,,,,,,
101,WHITE,Weissburgunder Schulthauser,,,,Kellerei St. Michael Eppan,2021,9.8,1,2022-1 2023-1 ,,39,6,,,,,,,,
102,WHITE,Weissburgunder Praesulis,,,,Gumphof,2022,14.3,3,,,49,8,,,,,,,,
103,WHITE,Weissburgunder Longorei,,,,Pfitscher,2022,9.6,3,,,38,6,,,,,,,,
104,WHITE,Weissburgunder Barthenau ,,,,Hofstätter,2020,21.7,3,,,71,11,,,,,,,,
105,WHITE,Vinschgau Weissburgunder,,,,Castel Juval,2021,11.7,5,,,45,7,,,,,,,,
106,WHITE,,,,,,,,,,,7,1,,,,,,,,
107,WHITE,Weissburgunder Kristallberg,,,,Elena Walch,2022,17.3,3,,,58,9,"350m.ü.M, 1/3 in franz. EichenBarriques vergoren und dann Reifung für 5 Monate. Cuvee im Frühling",,,,,,,
108,WHITE,Weißburgunder Klaser  Riserva Salamander,,,,Niklaserhof,2020,14.3,1,2021-0,2,49,8,"550.m.ü.M, Gärung in 500 l Eichenholzfässern bleibt dort für 12 Monate auf der Feinhefe und danach weitere 6 Monate auf der Feinhefe im Stahltank",,,,,,,
109,WHITE,Weissburgunder Strahler,,,,Stroblhof,2022,12.5,3,,,48,7,"400-500m.ü.M, Traubengemisch (2012 z.B. mit 4 % Pinot Grigio und Chardonnay), Gärung; 22 Tage im Edelstahltank & Eichenfässern, ohne BSA, Ausbau; 6 Monate 50% in Eichenhlzfässern auf der Hefe, 50% Edelstahlbehälter",,,,,,,
110,WHITE,Weissburgunder Riserva Renaissance,,,,Gumphof,2019,26.5,0,nicht gelistet,3,85,14,,,,,,,,
111,WHITE,Weißburgunder Riserva Helios,,,,Kränzel,2020,26.5,2,,1,85,14,,,,,,,,
112,WHITE,Weissburgunder Alte Reben,,,,K. Martini & Sohn,2019,25,1,2021-2,,81,13,"250m.ü.M, 4 h Maischestandzeit, Gärung; im grossen Holzfass, Ausbau; 5 Monate auf der Feinhefe im Stahltank",,,,,,,
113,WHITE,Terlaner Weissburgunder Eichhorn ,BIO,,,Manincor,2022,20.5,1,"2023-2 euro21,2",,67,11,"300m.ü.M, 8h Mazeration, Gärung; spontan im Holzfass mit Traubeneigenen Hefen, Ausbau; 9 Monate auf der Feinhefe",,,,,,,
114,WHITE,Weissburgunder Vom Muschelkalk,,,,Weingut Abraham,2022,18.9,3,,,63,10,,,,,,,,
115,WHITE,,,,,,,,,,,7,1,,,,,,,,
116,WHITE,,,,,,,,,,,7,1,"400-600m.ü.M. Gärung; Stahlfass & grossen Eichenholzfass, Ausbau; 5 Monate auf der Feinhefe mit teilweise BSA",,,,,,,
117,WHITE,Weissburgunder Plötzner,,,,St. Pauls,2022,7,11,,,31,5,"500-700m.ü.M, Gärung; grossem Holzfass, Ausbau; 5-7 Monate auf der Feinhefe mit teilweise BSA",,,,,,,
118,WHITE,,,,,,,,,,,7,1,,,,,,,,
119,WHITE,Weissburgunder Prunar ,,,,Erste & Neue ,2015,7.2,2,2012-1,,30,5,"500m.ü.M. Gärung; grossen Holzfass & Edelstahltank, anschliessende Lagerung auf der Feinhefe",,,,,,,
120,WHITE,,,,,,,,,,,7,1,,,,,,,,
121,WHITE,Weissburgunder Riserva Vorberg ,,,,Kellerei Terlan,2021,21.4,2,,1,70,11,"600-950m.ü.M. Handlese, Gärung; grossen Eichenfass, Ausbau; BSA und Reife für 12 Monate auf der Feinhefe im traditionellen Holzfass",,,,,,,
122,WHITE,Weissburgunder Sirmian,,,,Nals Margreid,2021,17,3,,,57,9,Ausbau; 7 Monate im Edelstahlfass und Holzfass,,,,,,,
123,WHITE,Weissburgunder St. Valentin ,,,,St. Michael Eppan,2020,19.1,1,2021-2,,63,10,"450-600m.ü.M. Handlese, Gärung; BSA und Ausbau von 50% auf der Hefe in BarriquesTonneau. Rest in grossen Eichenholzfässern.  Nach 1 Jahr Assemblage, danach 6 Monate im Stahltank",,,,,,,
124,WHITE,Weissburgunder Haberle ,,,,Alois Lageder,2018,14.49,1,2019-1 versalto bio 2021- 1 ,,50,8,"480-520m.ü.M. Gärung: Edelstahltank, Ausbau; 6 Moante auf der Feinhefe",,,,,,,
125,WHITE,,,,,,,,,,,7,1,,,,,,,,
126,WHITE,Terlaner Weissburgunder De Silva ,,,,Peter Sölva & Söhne,2020,12.95,2,2021-1 ,,49,8,500m.ü.M. nach der Vergärung auf der feinen Hefe bis zur Abfüllung. ,,,,,,,
127,WHITE,Terlaner Weissburgunder Rarity,,,,Kellerei Terlan,2009,105.1,5,,,230,38,,,,,,,,
128,WHITE,Terlaner Weissburgunder Rarity,,,,Kellerei Terlan,2006,130.5,3,,,260,43,,,,,,,,
129,WHITE,Terlaner Weissburgunder Rarity,,,,,2010,102,0,nicht gelistet,1,220,,,,,,,,,
130,WHITE,,,,,,,,,,,7,,,,,,,,,
131,WHITE,Chardonnay,,,,,,,,,,7,,,,,,,,,
132,WHITE,Chardonnay Kreuth,,,,Kellerei Terlan,2021,14.5,3,,,50,8,"250-420m.ü.M. Hadlese, Gärung; grossen Eichenholzfass, Ausbau; BSA und 8 Monate auf der Feinhefe im traditionellen Holzfass",,,,,,,
133,WHITE,CH19,,,,Pitzner,2019,25.9,3,,,84,13,,,,,,,,
134,WHITE,Chardonnay St. Valentin ,,,,St. Michael Eppan,2021,19.4,1,2022-2,,64,10,,,,,,,,
135,WHITE,,,,,,,,,,,7,1,,,,,,,,
136,WHITE,Chardonnay Cardellino ,,,,Elena Walch,2023,14.4,3,,,49,8,"400.m.ü.M. Vinifizierung; langer Hefekontakt, 15% werden in franz. EichenBarrique vergoren und reifen 5 Monate. Assemblage im Frühjahr",,,,,,,
137,WHITE,Chardonnay Marei ,,,,Castel Salegg,2020,15,2,2021-1,,51,8,,,,,,,,
138,WHITE,,,,,,,,,,,7,,,,,,,,,
139,WHITE,,,,,,,,,,,7,,,,,,,,,
140,WHITE,Chardonnay Riserva,,,,Happacherhof,2020,16.00,2,2021-1,,54,9,Vergärung im grossen Eichenhlzfass mit anschliessender 15 Monatiger reife,,,,,,,
141,WHITE,Chardonnay Ogeaner,,,,Armin Kobler,2021,9.10,2,2018-1,,37,6,"209.m.ü.M. Vinifizierung; auf der Feinhefe im Stahlfass mit teilweise BSA, keine Weinsteinstabilisierung",,,,,,,
142,WHITE,,,,,,,,,,,7,,,,,,,,,
143,WHITE,Chardonnay Ateyon ,BIO,,(10%Kerner),Loacker Schwarhof,2022,15.25,3,,,52,8,Holzausbau mit wöchentlicher Batonnage und spontangärung,,,,,,,
144,WHITE,Chardonnay Lafoa,,,,Schreckbichl Colterenzio,2022,19.9,3,,,66,10,"400-550m.ü.M. Ganztraubenpressung. Gärung; neuen und gebrauchten Barriques, BSA. Ausbau; 10 Monate auf der Feinhefe mit regelmässiger Batonnage. Mind. 6 Monate in der Flasche",,,,,,,
145,WHITE,Donà d'Or,,bei Terlan,chardonnay,Hartmann Donà,2015,58.16,0,,3,128,21,260-320m.ü.M. Gärung; kleinen Eichenhlzfass mit BSA. Ausbau; 11 Monate auf der ersten Hefe mit regelmässiger Batonnage.,,,,,,,
146,WHITE,,,,,,,,,,,7,1,,,,,,,,
147,WHITE,,,,,,,,,,,7,1,,,,,,,,
148,WHITE,Chardonnay Löwengang ,BIO,,,Tenutae Lageder,2020,48.55,4,2021-1 ,1,122,20,230-330m.ü.M. Gärung; spontan in Barriques 1/3neu. Ausbau; auf der Hefe im Barriques über 11 Monate,,,,,,,
149,WHITE,Chardonnay Löwengang ,BIO,,,Tenutae Lageder,2017,49.50,0,nicht gelistet,3,109,18,230-330m.ü.M. Gärung; spontan in Barriques 1/3neu. Ausbau; auf der Hefe im Barriques über 11 Monate,,,,,,,
150,WHITE,,,,,,,,,,,7,,,,,,,,,
151,WHITE,Chardonnay Schwarzhaus,,,,Stroblhof,2017,12.50,1,2019-1 2022-1 ,,48,7,350m.ü.M. Gärung; grossen Eichenholzfass mit BSA. Ausbau; 6 Monate auf der Hefe im Holzfass,,,,,,,
152,WHITE,Chardonnay Baron Salvadori ,,,,Nals Margreid,2020,25,2,,2021-1 ,81,13,12 Monate im Tonneau,,,,,,,
153,WHITE,Chardonnay Sophie ,BIO,,(6% Viognier),Manincor,2022,27.5,5,,,88,14,"350-40m.ü.M. 4 h Mazeration. Gärung; spontan in Holzfässern verschiedener grössen und Traubeneigener Hefe, BSA. Ausbau;  9 Monate auf der Feinhefe",,,,,,,
154,WHITE,,,,,,,,,,,7,1,,,,,,,,
155,WHITE,,,,,,,,,,,7,1,,,,,,,,
156,WHITE,,,,,,,,,,,7,,,,,,,,,
157,WHITE,,,,,,,,,,,7,1,"250-500m.ü.M. Handlese, Gärung; Edelstahltanks, Ausbau; 5-7 Monate auf der Feinhefe im Stahltank",,,,,,,
158,WHITE,,,,,,,,,,,7,1,"250-500m.ü.M. Handlese, Gärung; Edelstahltanks, Ausbau; 5-7 Monate auf der Feinhefe im Stahltank",,,,,,,
159,WHITE,Chardonnay Riserva Troy,,,,Kellerei Tramin,2020,52,16,,,114,19,,,,,,,,
160,WHITE,,,,,,,,,,,,,,,,,,,,
161,WHITE,,,,,,,,,,,,,,,,,,,,
162,WHITE,,,,,,,,,,,7,1,,,,,,,,
163,WHITE,,,,,,,,,,,7,1,,,,,,,,
164,WHITE,,,,,,,,,,,7,1,,,,,,,,
165,WHITE,Riesling,,,,,,,,,,7,1,,,,,,,,
166,WHITE,Riesling Praepositus,,,,Stiftskellerei Neustift,2018,18.90,1,2020-1,1,63,10,"650-700m.ü.M. 2/3 Mitte Oktober, 1/3 Spätlese mitte Dezember. Vergärung & Ausbau im Edelstahltank. 9 Monate Flaschenreifung",,,,,,,
167,WHITE,,,,,,,,,,,7,1,700.m.ü.M. Gärung im Edelstahlbehälter,,,,,,,
168,WHITE,Riesling R,,,,Köfererhof,2022,18.1,2,,1,60,10,700m.ü.M. Handlese. Gärung & Ausbau im Stahl.,,,,,,,
169,WHITE,Riesling Viel Anders,,,,Röckhof,2018,10.5,1,,,41,6,550-650m.ü.M. Ernte im Oktober/November/Anfang Januar. Handlese. Gärung & Ausbau im Edelstahltank für 8 Monate,,,,,,,
170,WHITE,,,,,,,,,,,7,1,,,,,,,,
171,WHITE,Riesling Montiggl,,,,St. Michael Eppan,2020,10.5,2,2022-1 Fallwine ,,41,6,,,,,,,,
172,WHITE,Riesling Kaiton,,,,Kuenhof - Peter Pliger,2021,15.9,2,2022-1,,54,8,"550-700m.ü.M. Gärung; spontan 50% im grossen Akazienholzfass, 50% im Edelstahltank. Ausbau; 8 Monate auf der Feinhefe",,,,,,,
173,WHITE,Riesling,,,,Falkensteiner - Franz Pratzner,2022,17.9,2,,1,60,9,600-900m.ü.M. Handlese. Gärung im AkazienHolzfass. Ausbau; 10 Monate auf der Grobhefe. 1 Jahr Flaschenlagerung.,,,,,,,
174,WHITE,Riesling Unterortl,,,,Castel Juval - Unterortl,2021,18.9,1,2023-2 ,,63,10,,,,,,,,
175,WHITE,Riesling Ringberg,,,,Elena Walch,2021,18.9,3,2019-1 ,,63,10,400m.ü.M. Gärung; Stahltank. Langer Hefekontakt bis zu Abfüllung,,,,,,,
176,WHITE,Riesling Windbichel,,,,Castel Juval - Unterortl,2022,29.9,3,,,86,14,,,,,,,,
177,WHITE,Riesling Surmont,Bio,,,Alois Lageder,2021,16.5,3,,,56,9,520-750m.ü.M. Gärung; Edelstahltank. Ausbau; 4 Monate auf der Feinhefe,,,,,,,
178,WHITE,,,,,,,,,,,7,1,,,,,,,,
179,WHITE,Riesling ,,,,Pacherhof,2022,16.2,3,,,55,9,,,,,,,,
180,WHITE,Riesling ,,,,Andi Sölva,2018,14.8,2,,1,51,8,,,,,,,,
181,WHITE,,,,,,,,,,,7,1,,,,,,,,
182,WHITE,Kerner,,,,,,,,,,7,1,,,,,,,,
183,WHITE,Kerner,,,,Pacherhof,2021,13.6,1,2022-1 2023-1 ,,47,7,700m.ü.M. Handlese. Vinifizierung im Stahlbehälter für 6 Monate auf der Hefe,,,,,,,
184,WHITE,Rielinger Kontur ,BIO,,,Rielinger,2020,25,6,2021-4,,81,13,600-750m.ü.M. Gärung; Edelstahlbehälter. Ausbau; 6 Monate im Edelstahltanks,,,,,,,
185,WHITE,Kerner Praepositus,,,,Stiftskellerei Neustift,2022,15.5,3,,,53,8,650-700m.ü.M Gärung & Ausbau im Edelstahltank. 3 Monate Flaschenlagerung,,,,,,,
186,WHITE,Kerner Aristos,,,,Eisacktaler Kellerei,2020,13.3,1,2016-1 2021-1 ,,46,7,700-800m.ü.M. Gärung; Edelstahltanks. Kein BSA. Ausbau; 7 Monate auf der Feinhefe. ,,,,,,,
187,WHITE,Kerner Sabiona,,,,Eisacktaler Kellerei,2020,24.5,3,,,79,13,750m.ü.M. Gärung; Edelstahltanks. Kein BSA. Ausbau; 10 Monate auf der Feinhefe. 1 Jahr Flaschenlagerung.,,,,,,,
188,WHITE,Kerner,,,,Köfererhof,2021,12.7,1,2023-2,,49,8,650m.ü.M.  Edelstahl,,,,,,,
189,WHITE,,,,,,,,,,,7,1,,,,,,,,
190,WHITE,,,,,,,,,,,7,1,,,,,,,,
191,WHITE,Kerner,,,,Taschlerhof,2023,11.70,3,,,45,7,Stahltank,,,,,,,
192,WHITE,,,,,,,,,,,7,,,,,,,,,
193,WHITE,,,,,,,,,,,7,1,,,,,,,,
194,WHITE,Viognier Leviogn,BIO,,,Tröpfltalhof,2021,17.2,3,,,58,9,,,,,,,,
195,WHITE,,,,,,,,,,,7,1,,,,,,,,
196,WHITE,,,,,,,,,,,7,1,,,,,,,,
197,WHITE,Sylvaner,,,,,,,,,,7,1,,,,,,,,
198,WHITE,Sylvaner ,,,,Kuenhof - Peter Pliger,2022,15.30,2,2023-1,,52,8,"550-700m.ü.M. Handlese. Gärung: 50% grossen Holzfass 50% Edelstahltanks. Ausbau; 8 Monate auf der Feinhefe zu 2/3  im grossen Holzfass, der Rest im Edelstahltanks.",,,,,,,
199,WHITE,Sylvaner Sabiona,,,,Eisacktaler Kellerei,2019,26,2,2020-1,,84,13,650m.ü.M. Gärung; Edelstahltank. Kein BSA. Ausbau; 10 Monate auf der Feinhefe. 1 Jahr Flaschenlagerung,,,,,,,
200,WHITE,Sylvaner BIO,BIO,,,Garlider,2021,12.3,2,2021-1,,47,7,600-800m.ü.M. Gärung & Ausbau im Holzfass,,,,,,,
201,WHITE,Sylvaner Praepositus,,,,Stiftskellerei Neustift,2021,15.40,1,2022-2,,52,8,600-700m.ü.M.  Gärung; Edelstahltanks. Ausbau; ca. 5 Monate in akazienholzfässern zu 30hl. 3 Monate Flaschenreifung. ,,,,,,,
202,WHITE,Sylvaner,,,,Taschlerhof,2022,10.7,3,,,42,6,"Gärung & Ausbau 30% in grossen Akazienholzfässern, 70% im Stahltank.",,,,,,,
203,WHITE,Sylvaner,,,,Pacherhof,2019,13.1,1,2021-1 2022-1,,46,7,"620m.ü.M. Handlese. Vinifikation im Stahlbehälter, anschliessend 8 Monate auf der Feinhefe. ",,,,,,,
204,WHITE,,,,,,,,,,,7,,,,,,,,,
205,WHITE,Sylvaner R ,,,,Köfererhof,2019,19.2,1,"2021-1 2022-1 (21,5)",,64,10,600-750m.ü.M. Gärung & Ausbau im Edelstahl,,,,,,,
206,WHITE,Sylvaner Hautnah,BIO,,,Garlider,2017,24.6,1,2018-2,,80,13,,,,,,,,
207,WHITE,,,,,,,,,,,7,1,,,,,,,,
208,WHITE,,,,,,,,,,,7,1,,,,,,,,
209,WHITE,Veltliner,,,,,,,,,,7,1,,,,,,,,
210,WHITE,Veltliner,,,,Kuenhof - Peter Pliger,2015,11.3,1, 2020-1 2014-1,,44,7,"550-700m.ü.M. Gärung; 50% grosses Holzfass 50% Edelstahltank. Ausbau; 8 Monate 2/3 im grossen Holzfass, Rest im Edelstahltank auf der Feinhefe",,,,,,,
